Letter,ID,P1,P2,Cell,Sex,X,Y,Age,Animal,Synapses,Treatment,Category,Time
AA,24605003.abf,-60.44889832,-21.38639832,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,7.583333333
AA,24605003.abf,-50.97238541,-23.506567,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,7.666666667
AA,24605003.abf,-40.26713943,-65.90190887,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,7.75
AA,24605003.abf,-27.79508972,-38.17106628,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,7.833333333
AA,24605003.abf,-27.50597572,-48.8682785,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,7.916666667
AA,24605003.abf,-26.60651016,-30.8789711,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,8
AA,24605003.abf,-39.86559296,-31.93102455,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,8.083333333
AA,24605003.abf,-35.52085495,-41.62437057,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,8.166666667
AA,24605003.abf,-20.40662193,-24.67908287,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,8.25
AA,24605003.abf,-89.90639496,-27.65053177,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,8.333333333
AA,24605003.abf,-39.39176941,-44.27458191,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,8.416666667
AA,24605003.abf,-35.376297,-66.50422668,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,8.5
AA,24605003.abf,-65.87781525,-37.19129181,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,8.583333333
AA,24605003.abf,-42.79688644,-34.86231613,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,8.666666667
AA,24605003.abf,-24.46224785,-37.88998413,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,8.75
AA,24605003.abf,-37.25553894,-28.71061707,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,8.833333333
AA,24605003.abf,-45.21420288,-17.74838066,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,8.916666667
AA,24605003.abf,-25.87569427,-24.65499115,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,9
AA,24605003.abf,-26.31739616,-25.7070446,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,9.083333333
AA,24605003.abf,-59.60564804,-22.37420273,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,9.166666667
AA,24605003.abf,-24.45421791,-23.23351479,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,9.25
AA,24605003.abf,-25.33762169,-65.62082672,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,9.333333333
AA,24605003.abf,-29.08806992,-40.07439804,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,9.416666667
AA,24605003.abf,-79.17705536,-19.97295189,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,9.5
AA,24605003.abf,-24.05266953,-30.15618515,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,9.583333333
AA,24605003.abf,-30.36499023,-26.0925293,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,9.666666667
AA,24605003.abf,-24.83970261,-23.61899948,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,9.75
AA,24605003.abf,-49.68743515,-18.55950546,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,9.833333333
AA,24605003.abf,-15.5077486,-29.54583359,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,9.916666667
AA,24605004.abf,-21.27396393,-33.48099518,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,10
AA,24605004.abf,-45.91289139,-24.55058861,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,10.08333333
AA,24605004.abf,-26.27724075,-26.88759232,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,10.16666667
AA,24605004.abf,-23.98039246,-23.37004089,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,10.25
AA,24605004.abf,-24.05266953,-19.78020859,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,10.33333333
AA,24605004.abf,-13.55622959,-26.37361145,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,10.41666667
AA,24605004.abf,-45.37482071,-16.68829727,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,10.5
AA,24605004.abf,-31.50538445,-23.57081413,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,10.58333333
AA,24605004.abf,-25.04047585,-32.97504807,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,10.66666667
AA,24605004.abf,-41.28707123,-26.63863373,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,10.75
AA,24605004.abf,-21.58717155,-24.0285778,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,10.83333333
AA,24605004.abf,-19.65974426,-32.47712708,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,10.91666667
AA,24605004.abf,-23.6029377,-23.6029377,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,11
AA,24605004.abf,-44.29064178,-26.59044838,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,11.08333333
AA,24605004.abf,-20.59936523,-46.84448242,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,11.16666667
AA,24605004.abf,-22.07705879,-33.67373657,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,11.25
AA,24605004.abf,-23.34594727,-31.28051758,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,11.33333333
AA,24605004.abf,-29.20853424,-23.10501862,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,11.41666667
AA,24605004.abf,-11.95807171,-18.67193985,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,11.5
AA,24605004.abf,-19.63565254,-40.38760376,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,11.58333333
AA,24605004.abf,-48.13746262,-27.3855114,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,11.66666667
AA,24605004.abf,-27.64250183,-25.81144714,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,11.75
AA,24605004.abf,-26.14874649,-65.21124268,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,11.83333333
AA,24605004.abf,-26.30936432,-36.07498932,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,11.91666667
AA,24605004.abf,-24.40603065,-29.89919472,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,12
AA,24605004.abf,-17.37895775,-28.97563744,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,12.08333333
AA,24605004.abf,-22.51876068,-18.24629974,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,12.16666667
AA,24605004.abf,-24.10888672,-22.27783203,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,12.25
AA,24605004.abf,-20.62345886,-27.94767761,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,12.33333333
AA,24605004.abf,-19.44290924,-23.10501862,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,12.41666667
AA,24605004.abf,-40.37957382,-28.78289413,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,12.5
AA,24605004.abf,-27.3855114,-43.25465012,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,12.58333333
AA,24605004.abf,-28.78289413,-28.17254257,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,12.66666667
AA,24605004.abf,-54.12854767,-31.54553795,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,12.75
AA,24605004.abf,-22.43845177,-26.10056114,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,12.83333333
AA,24605004.abf,-44.27458191,-35.72966003,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,12.91666667
AA,24605004.abf,-22.5990696,-18.32660866,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,13
AA,24605004.abf,-21.51489258,-33.11157227,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,13.08333333
AA,24605004.abf,-29.93935013,-23.8358345,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,13.16666667
AA,24605004.abf,-24.87182617,-21.2097168,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,13.25
AA,24605004.abf,-47.70379257,-26.34148788,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,13.33333333
AA,24605004.abf,-37.50449753,-22.24570847,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,13.41666667
AA,24605004.abf,-28.96760559,-22.86408997,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,13.5
AA,24605004.abf,-37.19932175,-29.26475143,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,13.58333333
AA,24605004.abf,-22.00477982,-20.17372513,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,13.66666667
AA,24605004.abf,-21.39442825,-36.65321732,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,13.75
AA,24605004.abf,-31.86677551,-18.43904114,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,13.83333333
AA,24605004.abf,-30.73441315,-69.79691315,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,13.91666667
AA,24605004.abf,-22.63922501,-46.44293594,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,14
AA,24605004.abf,-57.81474686,-18.1418972,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,14.08333333
AA,24605004.abf,-54.81920624,-23.0809269,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,14.16666667
AA,24605004.abf,-37.79360962,-34.74185181,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,14.25
AA,24605004.abf,-24.88788795,-25.49823952,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,14.33333333
AA,24605004.abf,-22.20555305,-23.42625618,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,14.41666667
AA,24605004.abf,-42.8049202,-26.3254261,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,14.5
AA,24605004.abf,-24.71923828,-35.09521484,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,14.58333333
AA,24605004.abf,-21.9646244,-38.4441185,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,14.66666667
AA,24605004.abf,-34.91050339,-25.14487839,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,14.75
AA,24605004.abf,-27.21686172,-21.72369766,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,14.83333333
AA,24605004.abf,-34.65351486,-28.54999733,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,14.91666667
AA,24605005.abf,-40.19486237,-16.39115143,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,15
AA,24605005.abf,-36.2837944,-26.5181694,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,15.08333333
AA,24605005.abf,-38.77338791,-15.58002663,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,15.16666667
AA,24605005.abf,-29.66629791,-22.34207916,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,15.25
AA,24605005.abf,-46.2421608,-19.38669395,1.1.1,Female,222.96,348.57,35,1,Glutamate,Control,1,15.33333333
